review_text,rating,review_date,text_clean
"padahal aku nyamaaan banget belaja disini tapi opsi COD suka tiba tiba hilang, pas lagi butuh .",2,2025-11-27 19:34:34,padahal aku nyaman banget baja sini tapi opsi cod suka tiba tiba hilang pas butuh
bagus bangat,5,2025-11-27 19:34:17,bagus bangat
"semua oke sih, cuma saat saya mau ngasih ulasan unggah videoharus 60 MB, hla video jg cuma 62MB, sama 72MB, biasanya juga bisa bisa aja,, nih kok video harus kurang dari 60MB, kenapa coba",5,2025-11-27 19:34:10,semua oke sih cuma mau ngasih ulas unggah videoharus mb hla video cuma mb sama mb biasa aja nih kok video kurang mb coba
mudah simpel cepat,5,2025-11-27 19:34:05,mudah simpel cepat
"maaf untuk sementara saya kasih bintang 1, karena pembekuan akun saya lama banget dibukannya, padahal tidak ada tanggungan baik paylatter atau Spinjam nya :(",1,2025-11-27 19:33:30,maaf kasih bintang beku akun lama banget buk padahal tidak tanggung baik paylatter spinjam nya
bagus,4,2025-11-27 19:32:51,bagus
"aplikasi aneh, transaksi selalu dibatalkan system padahal tidak melakukan apa2. chat cs ga pernah ada solusi. aneh",1,2025-11-27 19:32:37,aplikasi aneh transaksi selalu batal system padahal tidak laku apa chat cs tidak pernah solusi aneh
mantap,5,2025-11-27 19:32:28,bagus
"sistem sangat bobrok, berulangkali mendapat orderan fiktif, sangat merugikan driver.",1,2025-11-27 19:31:53,sistem sangat bobrok berulangkali dapat order fiktif sangat rugi driver
"Akun tiba tiba diblokir tidak ada penjelasan, pembelian harian normal berhasil,,pengajuan banding tidak ada kejelasan",1,2025-11-27 19:31:03,akun tiba tiba blokir tidak jelas beli hari normal berhasilpengajuan banding tidak jelas
belanja disini jd hematt poll,5,2025-11-27 19:30:31,belanja sini jd hematt poll
the best,5,2025-11-27 19:30:27,the best
mntap,5,2025-11-27 19:29:44,mntap
bagus,5,2025-11-27 19:28:33,bagus
"kapok beli di shopee,, pengiriman kadang ga jelas,, apalagi jasa pengiriman udah g dupdate.. kadang sampai 4 hari ga di update.. capek buat laporan...",1,2025-11-27 19:28:03,kapok beli shopee kirim kadang tidak jelas jasa kirim g dupdate kadang hari tidak update capek buat lapor
"Hemat, praktis, lengkap, pokoknya paten.",5,2025-11-27 19:26:20,hemat praktis lengkap pokok paten
like,5,2025-11-27 19:26:11,like
bagus,3,2025-11-27 19:26:11,bagus
sangat bagus dan membantu Terima kasih SHOPEE...,5,2025-11-27 19:25:58,sangat bagus bantu terima kasih shopee
bagus menurut saya ini aplikasi belanja online paling amanah,5,2025-11-27 19:25:31,bagus aplikasi belanja online paling amanah
"NYESEL GUA BELANJA DISINI , UDAH SEMINGGU LEBIH KAGA ADA JUGA BARANG KEJELASAN JUGA INFO KAGA ADA,, GARA GARA SHOPEE GUA RUGI UDAH RATUSAN RIBU , GARA GARA SAMPE DETIK INI BELUM JUGA DATENG!!!! NYESEEEL GUA MENDING DI TIKTOK KALO KAGA DITOKOPEDIA BELANJANYA CEPET",1,2025-11-27 19:24:05,nyesel gua belanja sini minggu lebih kaga barang jelas info kaga gara gara shopee gua rugi ratus ribu gara gara sampe detik belum dateng nyesel gua mending tiktok kalau kaga ditokopedia belanja cepat
sesuai slslu jarang kecewa,5,2025-11-27 19:23:59,sesuai slslu jarang kecewa
