review_text,rating,review_date
"padahal aku nyamaaan banget belaja disini tapi opsi COD suka tiba tiba hilang, pas lagi butuh .",2,2025-11-27 19:34:34
bagus bangat,5,2025-11-27 19:34:17
"semua oke sih, cuma saat saya mau ngasih ulasan unggah videoharus 60 MB, hla video jg cuma 62MB, sama 72MB, biasanya juga bisa bisa aja,, nih kok video harus kurang dari 60MB, kenapa coba",5,2025-11-27 19:34:10
mudah simpel cepat,5,2025-11-27 19:34:05
"maaf untuk sementara saya kasih bintang 1, karena pembekuan akun saya lama banget dibukannya, padahal tidak ada tanggungan baik paylatter atau Spinjam nya :(",1,2025-11-27 19:33:30
bagus,4,2025-11-27 19:32:51
"aplikasi aneh, transaksi selalu dibatalkan system padahal tidak melakukan apa2. chat cs ga pernah ada solusi. aneh",1,2025-11-27 19:32:37
mantap,5,2025-11-27 19:32:28
"sistem sangat bobrok, berulangkali mendapat orderan fiktif, sangat merugikan driver.",1,2025-11-27 19:31:53
"Akun tiba tiba diblokir tidak ada penjelasan, pembelian harian normal berhasil,,pengajuan banding tidak ada kejelasan",1,2025-11-27 19:31:03
belanja disini jd hematt poll,5,2025-11-27 19:30:31
the best,5,2025-11-27 19:30:27
mntap,5,2025-11-27 19:29:44
bagus,5,2025-11-27 19:28:33
"kapok beli di shopee,, pengiriman kadang ga jelas,, apalagi jasa pengiriman udah g dupdate.. kadang sampai 4 hari ga di update.. capek buat laporan...",1,2025-11-27 19:28:03
"Hemat, praktis, lengkap, pokoknya paten.",5,2025-11-27 19:26:20
like,5,2025-11-27 19:26:11
bagus,3,2025-11-27 19:26:11
sangat bagus dan membantu Terima kasih SHOPEE...,5,2025-11-27 19:25:58
bagus menurut saya ini aplikasi belanja online paling amanah,5,2025-11-27 19:25:31
"NYESEL GUA BELANJA DISINI , UDAH SEMINGGU LEBIH KAGA ADA JUGA BARANG KEJELASAN JUGA INFO KAGA ADA,, GARA GARA SHOPEE GUA RUGI UDAH RATUSAN RIBU , GARA GARA SAMPE DETIK INI BELUM JUGA DATENG!!!! NYESEEEL GUA MENDING DI TIKTOK KALO KAGA DITOKOPEDIA BELANJANYA CEPET",1,2025-11-27 19:24:05
sesuai slslu jarang kecewa,5,2025-11-27 19:23:59
"buat shopee biaya layanan hilangin aja diubah jadi pajak.tulis aja biaya pajak 2000,biasannya 1000 ini jadi 2000,aplikasi kok narikin biaya layanan,bayangin aja orang orang check out berkali kali ada biaya layanan dikaliin jadi berapa itu.belum lagi ongkir.nambah update harusnya berkembang aplikasinya bukannya narikin biaya layanan sekali check out🥲 edit:check out diatas 300k kena biaya layanan 4k,ketolong sama voucher toko yg ku beli.makin lama ada kenaikan biaya layanan atau pajak,agak kecewa",2,2025-11-27 19:23:04
halo aku baru download semoga sesuai setiap barang yang aku pesan aku kasi bintang 5,5,2025-11-27 19:22:36
sangat menyenangkan,5,2025-11-27 19:22:02
mantap Poko nya,5,2025-11-27 19:21:59
aplikasi terbaik buat belanja,5,2025-11-27 19:20:31
mantul,5,2025-11-27 19:20:28
bagus,5,2025-11-27 19:20:09
sangat bagus,5,2025-11-27 19:19:57
aplikasi belanja online yang banyak diskonya mantapp poll 🤍,5,2025-11-27 19:19:28
shopee emang joss,5,2025-11-27 19:19:27
pokoknya cocok3 bangettt.!!!,5,2025-11-27 19:19:12
top,5,2025-11-27 19:18:31
sangat. bagus dan nyaman,5,2025-11-27 19:17:02
lebih baik daripada yg lain,5,2025-11-27 19:16:58
Mantap,5,2025-11-27 19:16:20
Mantap,5,2025-11-27 19:15:32
bagus deh,5,2025-11-27 19:14:56
"aplikasi nya bagus,perlu ditindaklanjuti seller yang tidak amanah.",5,2025-11-27 19:14:56
bagus dan cepet sampai serta barang yg dikirim sesuai,5,2025-11-27 19:12:42
Belanja asik,5,2025-11-27 19:12:22
"kurir sering ngaku"" sudah sampai tujuan dan membuat pembeli seakan membatalkan pesanan padahal kurir belum ada datang dan menelpon dan menggunakan foto di lain tempat hanya memfoto lantai seakan sudah sampai lokasi",3,2025-11-27 19:11:10
bagusssss dah lama make shopee promonya banyak,5,2025-11-27 19:11:00
top one top,5,2025-11-27 19:10:37
produk nyq lengkap,5,2025-11-27 19:10:31
barang yang sesuai,5,2025-11-27 19:09:37
mantap,5,2025-11-27 19:09:30
good,5,2025-11-27 19:09:16
belanja dishopee harga terjangkau hemat dan murah ongkirnya,5,2025-11-27 19:08:26
sangat membantu terimakasih,5,2025-11-27 19:08:04
Bagusss bangett aplikasi shopee inii makanya akuu kasih bintang limaa,5,2025-11-27 19:07:30
terbaik,5,2025-11-27 19:07:21
cukup membantu utk belanja online,5,2025-11-27 19:07:00
suka banget,5,2025-11-27 19:06:42
seru,5,2025-11-27 19:06:20
good bangett,5,2025-11-27 19:06:10
membantu sekali,5,2025-11-27 19:05:14
Shopee Indonesia ok,5,2025-11-27 19:05:02
Shopee memang oke... yang lain nyusul ya.....,5,2025-11-27 19:04:56
"Terima kasih gratis ongkir, terima kasih semua, terima kasih shopee",5,2025-11-27 19:02:47
"Berbelanja di Shopee memang selalu lancar, aman dan selalu tepat waktu pengirimannya dan tingkatkan terus Shopee.",5,2025-11-27 19:02:36
Shopee indonesia sangat nyaman dan terpercaya bisa melindungi pembeli dan penjualnya. terimakasih Shopee indonesia bagi saya nomor 1 ( satu),5,2025-11-27 19:02:26
memudahkan mencari barang yg dibutuhkan,5,2025-11-27 19:02:10
barang yang di cari komplit dan cepat terkirim,5,2025-11-27 18:59:55
pokoknya shopee MANTAP...,5,2025-11-27 18:59:39
sangat membantu 🥰,5,2025-11-27 18:59:26
mantap,5,2025-11-27 18:59:21
bagus,5,2025-11-27 18:58:56
"pesanan saya tidak sesuai diskripsi,dikirim yg harganya lebih murah. saya mau laporkan tokonya tetapi tidak bisa! minta pengembalian dana tidak bisa!",1,2025-11-27 18:58:49
"cod gagal dikirim dan dibatalkan sepihak,sudah lebih 5 barang di pesan gagal dan batal semua. yang bukan cod malah sampai. saya sangat kecewa belanja di sini.",1,2025-11-27 18:58:35
cukup bintang yg berbicara mengenai shopee driver semakin hari semakin parah,1,2025-11-27 18:57:50
sangat baik pelayanan cepat,5,2025-11-27 18:57:24
bagus,5,2025-11-27 18:56:29
"Di shopee banyak peminatnya...dkrenakan live sehingga kita tdk takut kecewa pesanan kita beda,,",5,2025-11-27 18:56:18
aku shopping,5,2025-11-27 18:56:00
bagus,5,2025-11-27 18:55:45
Memudahkan jual beli,5,2025-11-27 18:54:36
top,5,2025-11-27 18:53:54
Bagus,5,2025-11-27 18:53:05
mantap banyak diskon,5,2025-11-27 18:52:28
bagus,5,2025-11-27 18:51:41
dijamin lebih murah dari toko e-commerce lainnya...dan pasti nya selalu gratis ongkir,5,2025-11-27 18:49:42
baik,5,2025-11-27 18:49:39
"sangat membantu, terpercaya",5,2025-11-27 18:48:51
shope adalah belanja online yang penjualnya ramah dan baik sesuai produknya🥰🥰🥰🥰🥰🥰🥰 Des,5,2025-11-27 18:48:48
maju terus shopie,5,2025-11-27 18:48:41
ok,5,2025-11-27 18:46:23
sangat membantu,5,2025-11-27 18:46:23
pengiriman cepat .mudah.dan nyaman tànks shopee.,5,2025-11-27 18:45:44
"udah 3 kali, padahal kurir udah di tugasim buat nganter pesanan,tiba² balik transit lagi",2,2025-11-27 18:45:37
Bagus,5,2025-11-27 18:45:35
bagus,5,2025-11-27 18:45:35
Memudahkan aku berbelanja untuk usaha,5,2025-11-27 18:45:20
mntap,5,2025-11-27 18:44:34
sangat membantu,5,2025-11-27 18:43:35
saya senang belanja di shopee,5,2025-11-27 18:43:34
mantap,5,2025-11-27 18:41:38
"salam shopee termksh telah membuat blanja ku semakin mudah,",4,2025-11-27 18:41:37
"mudah,murah,ramah,b banyak pilihan",5,2025-11-27 18:41:32
mantap,5,2025-11-27 18:41:06
"utk shopee food harusnya ada opsi masukkan pin dlu sblm lanjut ke konfirmasi pesanan otomatis. karena kalau kasusnya kepencet pesan kan konsumen jadi rugi, padahal masih mau lihat2 dulu. kesel bgt g ikhlas meskipun buat makan sendiri",3,2025-11-27 18:38:11
bagus,5,2025-11-27 18:38:00
bagus 👍👍👍👍👍,5,2025-11-27 18:37:41
cepat pengirimannya bagus banget,5,2025-11-27 18:37:20
Puas belanja di shopee,5,2025-11-27 18:36:57
belanja jadi lebih mudah,5,2025-11-27 18:36:55
suka sekali sama aplikasi ini🥰,5,2025-11-27 18:35:48
mantap,5,2025-11-27 18:35:43
kenapa pas buka shope sok langsung ke shope video? shope apa bisa di setingg. jujur ganggu lama lamaa.,4,2025-11-27 18:33:18
"IKLASNYA MAKSA BGT GANGGU, BISA GASI UDAH BERLEBIHAN? GANGGU BGT SAYA UDAH MAUK BGT MAKSA GASUKA BGT ADA BATASAN NYA NAPA SI DIPIKIR AKU GAADA KESABARAN?",1,2025-11-27 18:32:07
"tidak sesuai iklan di tv""Shopee lebih cepat"". iya cepat klik ""beli sekarang"",datangnya gak cepat. saran dari saya,EKSPEDISI JNT dijadikan yg utama karena konsisten dlm pengiriman paket(CEPAT). Setelah paket saya tiba,saya mau UNINSTAL saja aplikasi SHOPEE. Nunggu perubahan yg lebik baik,terutama EKSPEDISINYA. Terimakasih🙏",1,2025-11-27 18:31:44
mantap,5,2025-11-27 18:31:37
Selalu menyenangkan blj di Shopee🤗,5,2025-11-27 18:30:51
belanja LBH mudah,5,2025-11-27 18:30:35
mantaf,5,2025-11-27 18:30:15
mantab⁰ belanja disini,5,2025-11-27 18:29:06
"aplikasi sangat membantu, tetapi tolong tambahkan untuk pembayaran melalui dana🙏🏻🙏🏻",5,2025-11-27 18:28:44
slalu puas dan sesuai ekspetasi..di pertahankan amanah nya ya para kakak reseler 🥰🥰,5,2025-11-27 18:28:36
"lebih nyaman aja pakai shopee, soalnya cover untuk pembelinya maksimal, ada jaminan uang kembali kan lewat pengembalian dana",5,2025-11-27 18:28:05
👍,5,2025-11-27 18:27:50
udah 3hari pengiriman stak di tempat yg sama mending bubarin aja shopee udah gak berguna skrng,1,2025-11-27 18:27:44
"barang sudah saya terima dgn baik tapi blm di coba,muda2 bagus dan cocok buat motor saya",5,2025-11-27 18:25:56
nyaman gak pake ribet,5,2025-11-27 18:25:46
"Sangat suka dengan shopee, semoga semua toko yang ada di sini amanah, aminn",5,2025-11-27 18:25:39
Mantap 👍👍👍👍👍👍....👍.........................👍👍....................................,5,2025-11-27 18:24:42
Not bad but not good,5,2025-11-27 18:24:33
"harga agak miring, kurirnya juga ramah,sopan 🤗walau kadang penjualnya kurang memuaskan barang nya...tapi q suka shopee😘",5,2025-11-27 18:24:05
baik,5,2025-11-27 18:23:57
terbaik shopee ❤️,5,2025-11-27 18:23:47
senang sekali berbelanja di shope sukses selalu shopee,5,2025-11-27 18:23:29
sangat membantu saat mencari belanja,5,2025-11-27 18:23:04
Garansi pasti dijamin telat sampai nya. Laporan juga nggak ditanggapi paket belum sampai ke konsumen diberikan keterangan laporan selesai ditangani.,1,2025-11-27 18:22:53
good,5,2025-11-27 18:22:26
